Common Uses,SKU,description,name,title,Material,"Because of the infinite color, thickness & construction combinations, contact a Product Specialist to request your Nuway® sample.",CleanZone™,Warranty,Format,Size,Max Panel Size,Panel Thickness,Construction,Blade Spacing,Installation,Style,Thickness,Application Settings,Order Notes,Roll Sizes,Backing,Tile Size,Tile Thickness,Case Pack,Weight,Recommended Installation,Roll Size,Top Layer Thickness,Total Thickness,Tile Weight,Standard Thickness,Additional Thicknesses,Standard Weight,Common Uses:,Application,Pile Material,Sizes
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,, Foot Grille,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,,, Scraping and drying surface with bolted cross supports,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,Custom made to your requirements. Consult our Product Specialists at 800-MATS-INC for assistance.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,"48"" (front to back) x 42"" (left to right)
Multiple panels are used to construct the foot grille system.",,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,,,,"
1-1/2""",,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,"Not to exceed 3/16""",,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,," 
Recessed",,,,,,,,,,,,,,,,,,,,,,
